id,Material,Item,Brand,Number,Notes
5475873,metal,dogtag,vivitroissfety.com,,see next image for other side of tag. Says I am on vivrol
5484256,paper,,,,trash in bird nest
5450498,plastic,sauce packet,heinz,2,
5495710,paper,qtip,,2,
5450391,glass,shard,,2,
5450392,glass,shard,,2,
5450402,glass,shard,,2,
5484215,glass,shard,,2,
5495700,plastic,straw,,2,
5450452,metal,washer,,2,
5450449,plastic,,,2,
5450457,plastic,,,2,
5450458,plastic,,,2,
5450459,plastic,,,2,
5461063,plastic,,,2,
5450479,glass,shard,,3,
5461074,glass,shard,,3,
5475909,glass,shard,,4,
5450490,plastic,sauce packet,heinz,6,
5461077,glass,shard,,6,
5461425,glass,shard,,6,
5461139,plastic,cigarette filter,,21,
5495744,organic,orange,,more from the same peel in next image.,
5461093,plastic,tobacco packaging,winston select,,
5450524,plastic,bag,winco,,
5484231,paper,receipt,win 1000,,
5484234,paper,receipt,win 1000,,
5450257,plastic,bottle,vitawa,,
5450462,metal,beverage can,truly,,
5450503,plastic,sauce packet,tapatio,,
5475857,plastic,sauce packet,taco bell,,
5475845,plastic,tobacco packaging,swisher sweets,,
5484223,plastic,tobacco packaging,swisher sweets,,
5461095,glass,shard,starbucks,,
5484254,plastic,foodwrapper,sour punch,,
5450467,plastic,lid,solo,,
5450396,metal,bottle cap,smirnoff,,
5461241,plastic,food wrapper,ricaleta,,
5450249,plastic,bottle cap,powerade,,
5495749,plastic,cup,polar pop circle k,,
5475878,metal,bottle cap,platinum,,
5484189,plastic,,pactiv,,
5484241,paper,gum wrapper,orbit,,
5461118,plastic,cigarette filter,nxt,,
5461225,plastic,cigarette filter,nxt,,
5484225,plastic,cigarette filter,nxt,,
5450412,,bottle,new amsterdam,,
5450412,,bottle cap,new amsterdam,,
5484249,plastic,bottle,nestle,,
5484220,plastic,food wrapper,nature valley,,
5461407,paper,card,mira loma,,
5450399,metal,bottle cap,mineragua,,
5450528,glass,bottle,miller high life,,
5450541,glass,bottle,miller high life,,
5450528,metal,bottle cap,miller high life,,
5495692,metal,can,mikes harder strawberry,,
5484235,glass,bottle,mikes hard lemonade,,
5450480,glass,shard,michelob ultra,,
5450418,paper,cup,mcdonalds,,
5475904,paper,cup,mcdonalds,,
5475839,paper,food wrapper,mcdonalds,,
5461183,paper,receipt,mcdonalds,,
5495717,paper,receipt,mcdonalds,,
5450414,paper,takeout box,mcdonalds,,
5450422,paper,takeout box,mcdonalds,,
5450423,plastic,cigarette filter,marlboro,,
5450424,plastic,cigarette filter,marlboro,,
5450446,plastic,cigarette filter,marlboro,,
5450471,plastic,cigarette filter,marlboro,,
5450483,plastic,cigarette filter,marlboro,,
5450508,plastic,cigarette filter,marlboro,,
5461033,plastic,cigarette filter,marlboro,,
5461172,plastic,cigarette filter,marlboro,,
5461180,plastic,cigarette filter,marlboro,,
5461277,plastic,cigarette filter,marlboro,,
5461369,plastic,cigarette filter,marlboro,,
5461381,plastic,cigarette filter,marlboro,,
5461393,plastic,cigarette filter,marlboro,,
5475860,plastic,cigarette filter,marlboro,,
5484248,plastic,cigarette filter,marlboro,,
5484258,paper,cigarette package,marlboro,,
5450237,paper,tobacco packaging,marlboro,,
5495707,plastic,food wrapper,lorna doone,,
5495693,paper,napkin,little ceasers,,
5450413,plastic,food wrapper,lays,,
5475825,plastic,sauce packet,ketchup,,
5475850,paper,bag,jackinthebox,,
5450509,plastic,cup,jackinthebox,,
5461086,plastic,sauce packet,jackinthebox,,
5461096,plastic,sauce packet,jackinthebox,,
5475803,plastic,sauce packet,jackinthebox,,
5475834,plastic,sauce packet,jackinthebox,,
5461040,plastic,sauce packet,house recipie mustard,,
5450510,plastic,sauce packet,heinz,,
5450511,plastic,sauce packet,heinz,,
5450517,plastic,sauce packet,heinz,,
5475892,plastic,sauce packet,heinz,,
5450393,paper,food wrapper,halls,,
5461412,paper,coupon,grubhub,,
5495705,paper,tag,george,,
5450429,paper,bag,fresh dialy,,
5495718,paper,receipt,family dollar,,
5450407,,bottle,E&J brandy,,
5450407,metal,bottle cap,E&J brandy,,
5495706,paper,tag,driworks,,
5495727,paper,food wrapper,double bubble,,
5475790,plastic,food wrapper,doritos tapatio,,
5484251,paper,flyer,dish,,
5450256,paper,label,dickies,,
5450416,paper,bag,del taco,,
5484230,paper,food wrapper,del taco,,
5495690,plastic,sauce packet,del taco,,
5461127,plastic,drink lids,dart,,
5450395,plastic,food label,Courvoisier VSOP,,
5450397,metal,bottle cap,corona extra,,
5450403,glass,shard,corona extra,,
5461192,metal,bottle cap,coors,,
5475897,metal,can,cocacola,,
5484186,paper,business card,canyon crest dental,,
5461113,plastic,cigarette filter,camel,,
5461186,plastic,cigarette filter,camel,,
5461270,plastic,cigarette filter,camel,,
5461391,plastic,cigarette filter,camel,,
5461400,plastic,cigarette filter,camel,,
5495687,plastic,cigarette filter,camel,,
5450497,paper,cup,burger im,,
5450497,paper,cup,burger im,,
5450497,plastic,lid,burger im,,
5450497,plastic,straw,burger im,,
5450495,paper,takeout box,burger im,,
5495696,plastic,food container,buffalo,,
5461067,metal,bottle cap,bud lite,,
5450223,plastic,tobacco packaging,black and mild,,
5450406,plastic,tobacco packaging,black and mild,,
5461055,plastic,tobacco packaging,black and mild,,
5461068,plastic,tobacco packaging,black and mild,,
5475914,plastic,tobacco packaging,black and mild,,
5484208,plastic,tobacco packaging,black and mild,,
5495755,plastic,tobacco packaging,black and mild,,
5484203,plastic,foodwrapper,Big AZ Baconator,,
5484205,plastic,foodwrapper,Big AZ Baconator,,
5450520,plastic,sauce packet,bakers,,
5450430,plastic,tobacco packaging,backwoods,,
5475822,plastic,tobacco packaging,backwoods,,
5495703,metal,can,arizona,,
5495709,plastic,wrapper,apple,,
5461218,paper,instructions,aerobic,,
5450526,paper,receipt,99 cent store,,
5475883,unknown,,$1 WOW!,,
5484238,paper,cup,711,,
5450532,plastic,cup,711,,
5484239,plastic,lid,711,,
5461102,unknown,tag,711,,
5450238,paper,gum packaging,5,,
5475852,paper,gum packaging,5,,
5450513,paper,bag,,,
5461185,plastic,bag,,,
5495702,plastic,bag,,,
5450233,organic,banana,,,
5475886,organic,banana,,,
5450246,rubber,band,,,
5475806,rubber,band,,,
5475828,cloth,beauty product,,,
5450492,metal,bobby pin,,,
5450491,glass,bottle,,,
5450450,plastic,bottle,,,
5450451,plastic,bottle,,,
5450461,plastic,bottle,,,
5450470,plastic,bottle,,,
5450533,metal,bottle cap,,,
5461074,metal,bottle cap,,,
5484217,metal,bottle cap,,,
5450239,plastic,bottle cap,,,
5450243,plastic,bottle cap,,,
5450244,plastic,bottle cap,,,
5450392,plastic,bottle cap,,,
5450491,plastic,bottle cap,,,
5450538,plastic,bottle cap,,,
5450539,plastic,bottle cap,,,
5475801,plastic,bottle cap,,,
5475837,plastic,bottle cap,,,
5450454,metal,bottle tab,,,
5475906,rubber,cap,,,
5450224,paper,cardboard,,,
5495728,paper,cardboard,,,
5461025,plastic,cigar tip,,,
5461059,plastic,cigar tip,,,
5461061,plastic,cigar tip,,,
5495736,plastic,cigar tip,,,
5461029,organic,cigarette filter,,,
5450252,plastic,cigarette filter,,,
5450370,plastic,cigarette filter,,,
5450378,plastic,cigarette filter,,,
5450417,plastic,cigarette filter,,,
5450419,plastic,cigarette filter,,,
5450425,plastic,cigarette filter,,,
5450438,plastic,cigarette filter,,,
5450442,plastic,cigarette filter,,,
5450445,plastic,cigarette filter,,,
5450481,plastic,cigarette filter,,,
5450482,plastic,cigarette filter,,,
5450484,plastic,cigarette filter,,,
5450485,plastic,cigarette filter,,,
5450502,plastic,cigarette filter,,,
5450505,plastic,cigarette filter,,,
5450514,plastic,cigarette filter,,,
5450515,plastic,cigarette filter,,,
5450529,plastic,cigarette filter,,,
5461013,plastic,cigarette filter,,,
5461017,plastic,cigarette filter,,,
5461117,plastic,cigarette filter,,,
5461172,plastic,cigarette filter,,,
5461175,plastic,cigarette filter,,,
5461179,plastic,cigarette filter,,,
5461181,plastic,cigarette filter,,,
5461225,plastic,cigarette filter,,,
5461236,plastic,cigarette filter,,,
5461287,plastic,cigarette filter,,,
5461385,plastic,cigarette filter,,,
5475799,plastic,cigarette filter,,,
5475813,plastic,cigarette filter,,,
5475830,plastic,cigarette filter,,,
5475863,plastic,cigarette filter,,,
5475865,plastic,cigarette filter,,,
5475881,plastic,cigarette filter,,,
5484190,plastic,cigarette filter,,,
5484209,plastic,cigarette filter,,,
5484221,plastic,cigarette filter,,,
5484224,plastic,cigarette filter,,,
5484226,plastic,cigarette filter,,,
5484237,plastic,cigarette filter,,,
5484242,plastic,cigarette filter,,,
5484244,plastic,cigarette filter,,,
5484245,plastic,cigarette filter,,,
5484246,plastic,cigarette filter,,,
5495721,plastic,cigarette filter,,,
5495723,plastic,cigarette filter,,,
5495724,plastic,cigarette filter,,,
5495732,plastic,cigarette filter,,,
5495735,plastic,cigarette filter,,,
5495737,plastic,cigarette filter,,,
5495743,plastic,cigarette filter,,,
5495748,plastic,cigarette filter,,,
5495751,plastic,cigarette filter,,,
5450535,plastic,container,,,
5450536,plastic,container,,,
5461019,plastic,container,,,
5484243,plastic,container,,,
5495720,plastic,container,,,
5461069,plastic,cup,,,
5450499,paper,drink holder,,,
5450254,plastic,drink lids,,,
5484191,paper,envelope,,,
5461390,metal,foil,,,
5450444,plastic,food container,,,
5450349,plastic,food container lid,,,
5475854,paper,food packaging,,,
5450466,metal,fork,,,
5495699,plastic,fork,,,
5475889,plastic,fruit label,,,
5450229,cloth,garden mesh,,,
5495712,cloth,gauss,,,
5450534,plastic,glove,,,
5475786,plastic,glove,,,
5461423,paper,gum wrapper,,,
5495733,paper,gum wrapper,,,
5484253,paper,gumwrapper,,,
5461030,paper,label,,,
5461087,paper,label,,,
5495739,paper,label,,,
5495740,paper,label,,,
5450450,metal,lid,,,
5450461,metal,lid,,,
5450255,plastic,lid,,,
5450427,plastic,lid,,,
5450428,plastic,lid,,,
5450512,plastic,lid,,,
5450522,plastic,lid,,,
5461379,plastic,lid,,,
5475847,plastic,lid,,,
5484188,plastic,lid,,,
5450258,plastic,lightbulb,,,
5461018,cloth,napkin,,,
5450228,paper,napkin,,,
5450231,paper,napkin,,,
5450232,paper,napkin,,,
5450247,paper,napkin,,,
5450436,paper,napkin,,,
5450464,paper,napkin,,,
5450493,paper,napkin,,,
5450497,paper,napkin,,,
5450504,paper,napkin,,,
5450516,paper,napkin,,,
5450539,paper,napkin,,,
5450545,paper,napkin,,,
5461054,paper,napkin,,,
5461281,paper,napkin,,,
5461380,paper,napkin,,,
5461424,paper,napkin,,,
5475820,paper,napkin,,,
5475870,paper,napkin,,,
5484199,paper,napkin,,,
5484204,paper,napkin,,,
5495678,paper,napkin,,,
5495684,paper,napkin,,,
5495697,paper,napkin,,,
5495704,paper,note,,,
5450455,metal,nut,,,
5450524,paper,plate,,,
5450527,wood,plywood,,,
5461075,wood,popsickle stick,,,
5461170,paper,qtip,,,
5495715,paper,qtip,,,
5495716,paper,qtip,,,
5461032,metal,razorblade,,,
5484213,paper,receipt,,,
5495689,paper,receipt,,,
5461091,paper ,receipt,,,
5461171,plastic,sauce packet,,,
5475815,metal,screw,,,
5475916,metal,screw,,,
5475788,plastic,sensor housing,,,
5450385,glass,shard,,,
5450390,glass,shard,,,
5450394,glass,shard,,,
5450397,glass,shard,,,
5450398,glass,shard,,,
5450400,glass,shard,,,
5450489,glass,shard,,,
5461079,glass,shard,,,
5461084,glass,shard,,,
5461389,glass,shard,,,
5461430,glass,shard,,,
5475808,glass,shard,,,
5475810,glass,shard,,,
5475912,glass,shard,,,
5484216,glass,shard,,,
5484219,glass,shard,,,
5484255,glass,shard,,,
5495725,glass,shard,,,
5495754,glass,shard,,,
5450477,plastic,spoon,,,
5450478,plastic,spoon,,,
5461187,plastic,spoon,,,
5461188,plastic,spork,,,
5450254,plastic,straw,,,
5450427,plastic,straw,,,
5450473,plastic,straw,,,
5450507,plastic,straw,,,
5450530,plastic,straw,,,
5495701,plastic,straw,,,
5495708,plastic,straw,,,
5450411,paper,straw wrapper,,,
5450443,paper,straw wrapper,,,
5475779,paper,straw wrapper,,,
5475794,paper,straw wrapper,,,
5475894,paper,straw wrapper,,,
5484229,paper,straw wrapper,,,
5495688,paper,straw wrapper,,,
5495700,paper,straw wrapper,,,
5495701,paper,straw wrapper,,,
5495734,paper,straw wrapper,,,
5495746,paper,straw wrapper,,,
5461082,plastic,straw wrapper,,,
5450453,plastic,tape,,,
5450476,plastic,tape,,,
5450253,plastic,tobacco packaging,,,
5450405,plastic,tobacco packaging,,,
5450409,plastic,tobacco packaging,,,
5450465,plastic,tobacco packaging,,,
5461298,plastic,tobacco packaging,,,
5475867,plastic,tobacco packaging,,,
5495694,plastic,tobacco packaging,,,
5495730,plastic,tobacco packaging,,,
5495752,plastic,tobacco packaging,,,
5495711,paper,towel,,,
5495713,paper,towel,,,
5450234,plastic,unknown wrapper,,,
5461193,metal,washer,,,
5450440,metal,wrapper,,,
5450488,metal,wrapper,,,
5461037,metal,wrapper,,,
5484232,paper,wrapper,,,
5450250,plastic,wrapper,,,
5450251,plastic,wrapper,,,
5450401,plastic,wrapper,,,
5450426,plastic,wrapper,,,
5450463,plastic,wrapper,,,
5461148,plastic,wrapper,,,
5475841,plastic,wrapper,,,
5484192,plastic,wrapper,,,
5484222,plastic,wrapper,,,
5495695,plastic,wrapper,,,
5484233,plastic,ziplock bag,,,
5450421,cloth,,,,
5461008,cloth,,,,
5475796,cloth,,,,
5450468,metal,,,,
5450506,metal,,,,
5484250,metal,,,,
5450240,paper,,,,
5450241,paper,,,,
5450245,paper,,,,
5450404,paper,,,,
5450415,paper,,,,
5450472,paper,,,,
5450487,paper,,,,
5450494,paper,,,,
5450500,paper,,,,
5450501,paper,,,,
5461011,paper,,,,
5461016,paper,,,,
5461161,paper,,,,
5461261,paper,,,,
5461279,paper,,,,
5461374,paper,,,,
5461378,paper,,,,
5461402,paper,,,,
5461422,paper,,,,
5475777,paper,,,,
5475781,paper,,,,
5475899,paper,,,,
5484187,paper,,,,
5484218,paper,,,,
5484227,paper,,,,
5495680,paper,,,,
5495681,paper,,,,
5495682,paper,,,,
5495685,paper,,,,
5495698,paper,,,,
5495719,paper,,,,
5495742,paper,,,,
5495753,paper,,,,
5450226,plastic,,,,
5450227,plastic,,,,
5450433,plastic,,,,
5450434,plastic,,,,
5450435,plastic,,,,
5450437,plastic,,,,
5450441,plastic,,,,
5450448,plastic,,,,
5450456,plastic,,,,
5450460,plastic,,,,
5450518,plastic,,,,
5450519,plastic,,,,
5450521,plastic,,,,
5450537,plastic,,,,
5461007,plastic,,,,
5461009,plastic,,,,
5461010,plastic,,,,
5461011,plastic,,,,
5461016,plastic,,,,
5461031,plastic,,,,
5461035,plastic,,,,
5461189,plastic,,,,
5461190,plastic,,,,
5461191,plastic,,,,
5461195,plastic,,,,
5461211,plastic,,,,
5461230,plastic,,,,
5461256,plastic,,,,
5461273,plastic,,,,
5461285,plastic,,,,
5461382,plastic,,,,
5461394,plastic,,,,
5461395,plastic,,,,
5461417,plastic,,,,
5475783,plastic,,,,
5475832,plastic,,,,
5475843,plastic,,,,
5484207,plastic,,,,
5484228,plastic,,,,
5484252,plastic,,,,
5495679,plastic,,,,
5495714,plastic,,,,
5495738,plastic,,,,
5495750,plastic,,,,
5450225,unknown,,,,
5450235,unknown,,,,
5450236,unknown,,,,
5450259,unknown,,,,
5450408,unknown,,,,
5450410,unknown,,,,
5450420,unknown,,,,
5450439,unknown,,,,
5450447,unknown,,,,
5450469,unknown,,,,
5450474,unknown,,,,
5450475,unknown,,,,
5450486,unknown,,,,
5450531,unknown,,,,
5450540,unknown,,,,
5450542,unknown,,,,
5450543,unknown,,,,
5450544,unknown,,,,
5461013,unknown,,,,
5461020,unknown,,,,
5461034,unknown,,,,
5461121,unknown,,,,
5461143,unknown,,,,
5461246,unknown,,,,
5461401,unknown,,,,
5475901,unknown,,,,
5484202,unknown,,,,
5484236,unknown,,,,
5495729,unknown,,,,
5495731,unknown,,,,
5495747,unknown,,,,
